Category: All categories

Time,Donald Trump: (United States),Kamala Harris: (United States),Election contest: (United States)
2025-09-12T23:48:00-05:00,100,4,10
2025-09-12T23:56:00-05:00,100,4,9
2025-09-13T00:04:00-05:00,93,4,10
2025-09-13T00:12:00-05:00,96,4,10
2025-09-13T00:20:00-05:00,93,4,11
2025-09-13T00:28:00-05:00,100,4,11
2025-09-13T00:36:00-05:00,96,4,11
2025-09-13T00:44:00-05:00,96,4,12
2025-09-13T00:52:00-05:00,92,4,10
2025-09-13T01:00:00-05:00,88,3,11
2025-09-13T01:08:00-05:00,90,4,10
2025-09-13T01:16:00-05:00,94,4,13
2025-09-13T01:24:00-05:00,96,3,12
2025-09-13T01:32:00-05:00,93,3,10
2025-09-13T01:40:00-05:00,93,3,11
2025-09-13T01:48:00-05:00,87,3,11
2025-09-13T01:56:00-05:00,86,3,11
2025-09-13T02:04:00-05:00,84,3,11
2025-09-13T02:12:00-05:00,83,4,9
2025-09-13T02:20:00-05:00,80,2,9
2025-09-13T02:28:00-05:00,79,4,8
2025-09-13T02:36:00-05:00,87,4,11
2025-09-13T02:44:00-05:00,73,4,8
2025-09-13T02:52:00-05:00,77,2,11
2025-09-13T03:00:00-05:00,78,2,9
2025-09-13T03:08:00-05:00,76,3,9
2025-09-13T03:16:00-05:00,77,2,6
2025-09-13T03:24:00-05:00,77,2,6
2025-09-13T03:32:00-05:00,77,2,9
2025-09-13T03:40:00-05:00,72,3,8
2025-09-13T03:48:00-05:00,76,3,10
2025-09-13T03:56:00-05:00,66,3,7
2025-09-13T04:04:00-05:00,75,3,8
2025-09-13T04:12:00-05:00,77,3,10
2025-09-13T04:20:00-05:00,82,2,11
2025-09-13T04:28:00-05:00,71,4,10
2025-09-13T04:36:00-05:00,79,3,8
2025-09-13T04:44:00-05:00,79,3,11
2025-09-13T04:52:00-05:00,84,3,8
2025-09-13T05:00:00-05:00,77,2,8
2025-09-13T05:08:00-05:00,78,3,8
2025-09-13T05:16:00-05:00,82,3,8
2025-09-13T05:24:00-05:00,85,4,9
2025-09-13T05:32:00-05:00,80,2,7
2025-09-13T05:40:00-05:00,88,3,10
2025-09-13T05:48:00-05:00,83,3,9
2025-09-13T05:56:00-05:00,86,2,8
2025-09-13T06:04:00-05:00,83,2,8
2025-09-13T06:12:00-05:00,84,2,9
2025-09-13T06:20:00-05:00,81,4,8
2025-09-13T06:28:00-05:00,85,2,8
